id,roster_year,player_number,first_name,last_name,year,position1,height,weight,home_town,state_or_country,high_school,alternative_school,college,college_league,bio_link,is_starter,accolade
6763,2018,27,Matthew,Massaad,Sophomore,Forward,6'2,180,La Jolla,CA,The Bishop's School,,Yale University,IVY,http://www.yalebulldogs.com/sports/m-soccer/2018-19/bios/schipper_kees_3gr4,,
6764,2017,17,Matthew,McGovern,Freshman,Defender,6'3,180,Congers,NY,Don Bosco Prepratory School,,Army West Point,PATRIOT,https://goarmywestpoint.com/roster.aspx?rp_id=10854&path=msoc,N,
6765,2018,4,Matthew,McGovern,Sophomore,Defender,6'2,178,Congers,NY,Don Bosco Prepratory School,,Army West Point,PATRIOT,https://goarmywestpoint.com/roster.aspx?rp_id=13196&path=msoc,N,
6766,2015,16,Matthew,McLaughlin,Freshman,Defender,6'0,173,Edmond,OK,Heritage Hall,,SMU,AMERICAN ATHLETIC,https://smumustangs.com/roster.aspx?rp_id=2516,,
6767,2006,19,Matthew,McNeil,Freshman,Defender,6'1,160,Phoenixville,PA,,Owen J. Roberts,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=3155,N,
6768,2007,10,Matthew,McNeil,Sophomore,Defender,6'1,160,Phoenixville,PA,,Owen J. Roberts,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4205,Y,
6769,2008,10,Matthew,McNeil,Junior,Defender,6'1,160,Phoenixville,PA,,Owen J. Roberts,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4874,Y,
6770,2016,21,Matthew,Peralta,Freshman,Defender,5'9,,Weston,FL,,Cypress Bay,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11638,N,
6771,2017,21,Matthew,Peralta,Sophomore,Defender,5'9,,Weston,FL,,Cypress Bay,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=12541,N,
6772,2018,21,Matthew,Peralta,Junior,Defender,5'9,,Weston,FL,,Cypress Bay,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=13058,N,
6773,2018,25,Matthew,Radzihovsky,Junior,Midfielder,5'10,174,Boulder,CO,Boulder High School,,Stanford University,PAC-12,https://gostanford.com/roster.aspx?rp_id=15668,N,
